Ticker,Weight
9988.HK,0.0010688187375978858
GOOG,6.566534862866346e-05
ASML,0.0001263528741078047
1801.HK,0.0016402647911814747
CCJ,5.4956187675869e-05
DELL,0.0001583378434325036
HALO,6.56147588443434e-05
HON,7.598931271607108e-05
005380.KS,0.22133039342779795
ISRG,2.980100799669668e-05
2454.TW,0.0035835136688192842
META,0.0001740528512218381
NVMI,0.00010866365142786696
NOVO-B.CO,0.0008992281024202695
NVDA,0.00011696791055018712
207940.KS,0.09185605495111332
005930.KS,0.1844317575840196
300124.SZ,0.0004320101636454957
300760.SZ,0.0006470865205072316
000660.KS,0.4740159830503104
SYK,5.858093982293733e-05
6762.T,0.00357749489700928
2330.TW,0.008892605102510874
9880.HK,0.0003750695750272855
VRTX,0.00011047832990310357
6669.TW,0.002101771568277104
1810.HK,0.0020696088684444445
FN,4.848141137738256e-05
1211.HK,0.001884396563612828
