Date,Apple,Tesla,Microsoft,Amazon,NVIDIA
2020-01-02,72.620849609375,28.68400001525879,153.04229736328125,94.90049743652344,5.9721598625183105
2020-01-03,71.91481018066406,29.534000396728516,151.13665771484375,93.74849700927734,5.876570701599121
2020-01-06,72.48783111572266,30.1026668548584,151.52734375,95.14399719238281,5.901215553283691
2020-01-07,72.14691925048828,31.270666122436523,150.14572143554688,95.34300231933594,5.972658634185791
2020-01-08,73.3075180053711,32.80933380126953,152.53729248046875,94.59850311279297,5.983860969543457
2020-01-09,74.86463928222656,32.089332580566406,154.4429473876953,95.05249786376953,6.0495805740356445
2020-01-10,75.03386688232422,31.876667022705078,153.72833251953125,94.15799713134766,6.0819411277771
2020-01-13,76.63691711425781,34.990665435791016,155.5767822265625,94.56500244140625,6.272624969482422
2020-01-14,75.60208892822266,35.861331939697266,154.48104858398438,93.47200012207031,6.155625343322754
2020-01-15,75.2780990600586,34.56666564941406,155.4815216064453,93.10099792480469,6.113058567047119
2020-01-16,76.22103881835938,34.232666015625,158.33047485351562,93.89700317382812,6.196699142456055
2020-01-17,77.06490325927734,34.03333282470703,159.2165985107422,93.23600006103516,6.205411911010742
2020-01-21,76.54263305664062,36.47999954223633,158.6448974609375,94.5999984741211,6.172053813934326
2020-01-22,76.81585693359375,37.97066879272461,157.8826446533203,94.37300109863281,6.226073265075684
2020-01-23,77.18579864501953,38.14666748046875,158.85450744628906,94.22899627685547,6.294528961181641
2020-01-24,76.96333312988281,37.654666900634766,157.25379943847656,93.08200073242188,6.235283851623535
2020-01-27,74.7001953125,37.201332092285156,154.62399291992188,91.41699981689453,5.979381084442139
2020-01-28,76.81342315673828,37.793331146240234,157.6539764404297,92.6624984741211,6.1728010177612305
2020-01-29,78.42129516601562,38.732666015625,160.11221313476562,92.9000015258789,6.112309455871582
2020-01-30,78.30767059326172,42.72066879272461,164.6286163330078,93.53399658203125,6.119032859802246
2020-01-31,74.83561706542969,43.371334075927734,162.1989288330078,100.43599700927734,5.885533332824707
2020-02-03,74.63008880615234,52.0,166.15313720703125,100.20999908447266,5.982616901397705
2020-02-04,77.09391021728516,59.137332916259766,171.6223602294922,102.4834976196289,6.151891231536865
2020-02-05,77.7225341796875,48.97999954223633,171.41273498535156,101.99349975585938,6.24225378036499
2020-02-06,78.63166046142578,49.930667877197266,174.9667205810547,102.5114974975586,6.329132080078125
2020-02-07,77.56285095214844,49.871334075927734,175.21450805664062,103.96399688720703,6.262916088104248
2020-02-10,77.93122863769531,51.41866683959961,179.7975616455078,106.69550323486328,6.546201705932617
2020-02-11,77.46105194091797,51.62533187866211,175.73851013183594,107.54000091552734,6.66867733001709
2020-02-12,79.30061340332031,51.15266799926758,175.99583435058594,108.0,6.784430027008057
2020-02-13,78.73588562011719,53.599998474121094,175.04299926757812,107.49349975585938,6.74061918258667
2020-02-14,78.75527954101562,53.33533477783203,176.60557556152344,106.74349975585938,7.213841915130615
2020-02-18,77.313232421875,57.22666549682617,178.3968963623047,107.78350067138672,7.382618427276611
2020-02-19,78.43292236328125,61.16133117675781,178.9319305419922,108.51100158691406,7.8339338302612305
2020-02-20,77.62828063964844,59.96066665649414,176.19940185546875,107.65499877929688,7.684574604034424
2020-02-21,75.87117004394531,60.06666564941406,170.6292724609375,104.79850006103516,7.320384502410889
2020-02-24,72.26727294921875,55.58599853515625,163.2725372314453,100.4645004272461,6.802851676940918
2020-02-25,69.81941223144531,53.32733154296875,160.57823181152344,98.63700103759766,6.5233001708984375
2020-02-26,70.92700958251953,51.91999816894531,162.58460998535156,98.97949981689453,6.662702560424805
2020-02-27,66.29063415527344,45.266666412353516,151.12908935546875,94.21499633789062,6.291818618774414
2020-02-28,66.25186157226562,44.53266525268555,154.7883758544922,94.1875,6.726965427398682
2020-03-02,72.41996002197266,49.574668884277344,165.0878448486328,97.69750213623047,6.885383129119873
2020-03-03,70.11996459960938,49.70066833496094,157.17694091796875,95.44950103759766,6.622849464416504
2020-03-04,73.37242889404297,49.96666717529297,162.94769287109375,98.79149627685547,7.086641311645508
2020-03-05,70.9924545288086,48.30266571044922,158.8584442138672,96.20149993896484,6.807170867919922
2020-03-06,70.04965209960938,46.89866638183594,154.3679656982422,95.05449676513672,6.626585960388184
2020-03-09,64.50929260253906,40.53333282470703,143.90606689453125,90.03050231933594,6.113475322723389
2020-03-10,69.15534973144531,43.02199935913086,153.7469482421875,94.59100341796875,6.5030412673950195
2020-03-11,66.75353240966797,42.28200149536133,146.78187561035156,91.04299926757812,6.139132022857666
2020-03-12,60.16132736206055,37.369998931884766,132.86135864257812,83.83049774169922,5.387900352478027
2020-03-13,67.36914825439453,36.44133377075195,151.7501220703125,89.25,5.998898506164551
2020-03-16,58.70231246948242,29.67133331298828,129.3836212158203,84.4574966430664,4.891976356506348
2020-03-17,61.28345489501953,28.68000030517578,140.03659057617188,90.39199829101562,5.411811351776123
2020-03-18,59.78323745727539,24.08133316040039,134.14163208007812,91.5,5.0518879890441895
2020-03-19,59.325164794921875,28.50933265686035,136.34864807128906,94.04650115966797,5.304705619812012
2020-03-20,55.55888748168945,28.50200080871582,131.22756958007812,92.30449676513672,5.1248698234558105
2020-03-23,54.37858581542969,28.952667236328125,129.91864013671875,95.1415023803711,5.297731399536133
2020-03-24,59.834129333496094,33.66666793823242,141.7277069091797,97.00499725341797,6.206631660461426
2020-03-25,59.50452423095703,35.95000076293945,140.37094116210938,94.29199981689453,6.117959499359131
2020-03-26,62.635826110839844,35.21066665649414,149.1513671875,97.77449798583984,6.407392978668213
