Date,Arista Networks,Fabrinet,Astera Labs,NVIDIA,Tesla,Apple,Tencent,Samsung
2024-03-20,74.1449966430664,192.1199951171875,62.029998779296875,90.34231567382812,175.66000366210938,177.59742736816406,283.84881591796875,74829.125
2024-03-21,76.1500015258789,206.8000030517578,64.1500015258789,91.40496063232422,172.82000732421875,170.3412322998047,286.20770263671875,77164.4921875
2024-03-22,76.6050033569336,197.13999938964844,70.0,94.25802612304688,170.8300018310547,171.24578857421875,283.84881591796875,76775.2578125
2024-03-25,76.375,192.0800018310547,85.0,94.97078704833984,172.6300048828125,169.82435607910156,283.6522521972656,76094.1171875
2024-03-26,74.4574966430664,186.35000610351562,83.37999725341797,92.53058624267578,177.6699981689453,168.6912078857422,294.2671203613281,77748.3359375
2024-03-27,72.10250091552734,191.3699951171875,79.91999816894531,90.22035217285156,179.8300018310547,172.26959228515625,296.822509765625,77651.03125
2024-03-28,72.49500274658203,189.02000427246094,74.19000244140625,90.32632446289062,175.7899932861328,170.4505615234375,298.5916748046875,78981.3984375
2024-04-02,72.7125015258789,185.41000366210938,72.20999908447266,89.42261505126953,166.6300048828125,167.82643127441406,303.89910888671875,83086.875
2024-04-03,74.69750213623047,190.05999755859375,69.27999877929688,88.93477630615234,168.3800048828125,168.63156127929688,303.1128234863281,82207.125
2024-04-05,74.4000015258789,187.4499969482422,71.33999633789062,87.97908782958984,164.89999389648438,168.56198120117188,304.6853942871094,82598.125
2024-04-08,74.34500122070312,188.6199951171875,69.91999816894531,87.10437774658203,172.97999572753906,167.43878173828125,300.1642150878906,82598.125
2024-04-09,73.6875,189.00999450683594,68.37000274658203,85.3259506225586,176.8800048828125,168.65147399902344,299.7711181640625,81718.3828125
2024-04-11,74.1449966430664,178.47999572753906,75.58999633789062,90.58623504638672,174.60000610351562,173.98919677734375,309.59967041015625,82207.125
2024-04-12,67.80500030517578,173.3300018310547,72.7300033569336,88.15702819824219,171.0500030517578,175.49014282226562,304.292236328125,81816.140625
2024-04-15,65.80000305175781,172.8800048828125,71.30000305175781,85.97274017333984,161.47999572753906,171.6533203125,299.181396484375,80349.890625
2024-04-16,65.69000244140625,172.85000610351562,74.5199966430664,87.38628387451172,157.11000061035156,168.36317443847656,296.6259460449219,78199.3984375
2024-04-17,64.81749725341797,166.1199951171875,73.20999908447266,84.00740051269531,155.4499969482422,166.99148559570312,295.6430969238281,77124.15625
2024-04-18,64.29750061035156,165.1999969482422,70.91999816894531,84.64318084716797,149.92999267578125,166.0372314453125,299.181396484375,77808.40625
2024-04-19,61.522499084472656,162.32000732421875,64.48999786376953,76.17496490478516,147.0500030517578,164.0094757080078,298.5916748046875,75853.421875
2024-04-22,61.36750030517578,164.1699981689453,65.79000091552734,79.49187469482422,142.0500030517578,164.84445190429688,314.9070739746094,74387.1875
2024-04-23,62.79499816894531,168.6699981689453,71.72000122070312,82.39591979980469,144.67999267578125,165.8980712890625,326.70135498046875,73800.6875
2024-04-24,63.692501068115234,169.92999267578125,70.98999786376953,79.65083312988281,162.1300048828125,168.00535583496094,338.299072265625,76830.9140625
2024-04-25,66.19000244140625,172.1999969482422,71.58999633789062,82.60486602783203,170.17999267578125,168.87013244628906,333.5813293457031,74582.6796875
2024-04-26,66.17500305175781,175.4499969482422,85.0,87.7061767578125,168.2899932861328,168.2836456298828,342.42706298828125,74973.6875
2024-04-29,65.9175033569336,176.0,85.69999694824219,87.7281723022461,194.0500030517578,172.4584503173828,341.6407775878906,74973.6875
2024-04-30,64.13999938964844,173.07000732421875,84.76000213623047,86.37361145019531,183.27999877929688,169.30747985839844,341.24761962890625,75755.671875
2024-05-02,65.46499633789062,174.19000244140625,79.05999755859375,85.78881072998047,180.00999450683594,171.99127197265625,354.2213134765625,76244.421875
2024-05-03,68.5999984741211,179.22000122070312,76.95999908447266,88.75983428955078,181.19000244140625,182.27915954589844,358.1527404785156,75853.421875
2024-05-07,68.49749755859375,209.30999755859375,76.19000244140625,90.52424621582031,177.80999755859375,181.30502319335938,359.52874755859375,79470.140625
2024-05-08,72.9175033569336,211.5500030517578,69.26000213623047,90.3823013305664,174.72000122070312,181.6429901123047,355.20416259765625,79470.140625
2024-05-09,74.01750183105469,218.00999450683594,70.05999755859375,88.71784973144531,171.97000122070312,183.46202087402344,363.46014404296875,77906.15625
2024-05-10,78.50749969482422,222.72999572753906,70.08000183105469,89.84847259521484,168.47000122070312,182.1979217529297,364.63958740234375,77417.4140625
2024-05-13,77.46749877929688,219.77000427246094,70.26000213623047,90.36930847167969,171.88999938964844,185.4128875732422,371.7161560058594,76635.40625
2024-05-14,78.41500091552734,232.38999938964844,72.31999969482422,91.32599639892578,177.5500030517578,186.55752563476562,375.25445556640625,76537.671875
2024-05-16,80.02249908447266,235.14999389648438,73.0,94.3280029296875,174.83999633789062,188.95631408691406,390.19384765625,76439.921875
2024-05-17,79.97250366210938,230.4499969482422,72.5,92.44861602783203,177.4600067138672,188.9861602783203,391.58172607421875,75657.9140625
2024-05-20,79.84750366210938,231.33999633789062,72.51000213623047,94.74886322021484,174.9499969482422,190.15072631835938,391.58172607421875,77124.15625
2024-05-21,79.24749755859375,231.57000732421875,73.33999633789062,95.35466766357422,186.60000610351562,191.4546356201172,380.2803955078125,76635.40625
2024-05-22,79.125,234.22000122070312,73.13999938964844,94.91880798339844,180.11000061035156,190.01136779785156,381.0734558105469,75951.171875
2024-05-23,75.3550033569336,242.38999938964844,70.06999969482422,103.76490783691406,173.74000549316406,186.0100860595703,378.4959716796875,76537.671875
